Dates,Satelite,Relaive_orbit,median_waterlevel
2018-11-14,SENTINEL_B,61,208.9142074
2018-11-15,SENTINEL_A,84,208.7960654
2018-11-19,SENTINEL_A,132,208.88189145
2018-11-21,SENTINEL_B,27,208.7937241
2018-11-22,SENTINEL_B,32,208.1608999
2018-11-23,SENTINEL_A,189,208.73031195
2018-11-23,SENTINEL_A,198,311.3935
2018-11-25,SENTINEL_B,84,208.8457837
2018-11-27,SENTINEL_A,246,208.7128094
2018-11-29,SENTINEL_B,132,208.8979499
2018-11-29,SENTINEL_B,141,208.518886
2018-12-01,SENTINEL_A,303,208.5075901
2018-12-03,SENTINEL_B,189,208.8056692
2018-12-03,SENTINEL_B,198,208.5831
2018-12-04,SENTINEL_A,355,208.8818086
2018-12-05,SENTINEL_A,360,208.7134
2018-12-07,SENTINEL_B,246,208.6369544
2018-12-08,SENTINEL_A,27,208.5636004
2018-12-11,SENTINEL_B,303,208.6069001
2018-12-12,SENTINEL_A,84,208.61127395
2018-12-15,SENTINEL_B,360,208.8364497
2018-12-16,SENTINEL_A,132,208.78690485
2018-12-16,SENTINEL_A,141,267.45395
2018-12-18,SENTINEL_B,27,208.5933815
2018-12-19,SENTINEL_B,32,208.4224999
2018-12-20,SENTINEL_A,189,208.4673924
2018-12-20,SENTINEL_A,198,305.0919999
2018-12-22,SENTINEL_B,84,208.52713345
2018-12-24,SENTINEL_A,246,208.5213566
2018-12-26,SENTINEL_B,132,208.7717999
2018-12-26,SENTINEL_B,141,208.5667335
2018-12-28,SENTINEL_A,303,208.4019168
2018-12-30,SENTINEL_B,189,208.517908
2018-12-31,SENTINEL_A,355,208.6387081
2019-01-03,SENTINEL_B,246,208.5835218
2019-01-03,SENTINEL_B,255,208.6924
2019-01-04,SENTINEL_A,27,208.5523768
2019-01-07,SENTINEL_B,303,208.3067355
2019-01-08,SENTINEL_A,84,208.362403
2019-01-11,SENTINEL_B,360,208.2277001
2019-01-12,SENTINEL_A,132,208.6522951
2019-01-12,SENTINEL_A,141,208.3486999
2019-01-14,SENTINEL_B,27,208.3476099
2019-01-15,SENTINEL_B,32,208.1462
2019-01-16,SENTINEL_A,198,317.84395
2019-01-20,SENTINEL_A,246,208.37236
2019-01-22,SENTINEL_B,132,208.6923501
2019-01-22,SENTINEL_B,141,208.3763388
2019-01-24,SENTINEL_A,303,208.3106731
2019-01-26,SENTINEL_B,189,208.2690628
2019-01-26,SENTINEL_B,198,207.79165
2019-01-27,SENTINEL_A,355,208.7197783
